0.9894,0.9929,8,0
0.89575,0.91365,50,0
0.9343,0.9864,70,2
0.9119,0.89785,12,2
0.9803,0.9639,90,1
0.9834,0.9646,23,2
0.95255,0.92755,7,1
0.8653,0.9092,57,1
0.99675,0.926,44,2
0.9725,0.9825,60,0
0.9905,0.9893,10,0
0.99085,0.9936,5,0
0.8926,0.93365,100,1
0.937,0.91455,22,0
0.9926,0.98305,33,1
0.90555,0.991,42,2
0.8969,0.98565,18,0
0.9625,0.96285,3,2
0.89315,0.8822,17,2
0.93925,0.9135,25,0
0.96755,0.9794,20,0
0.95715,0.91085,4,2
0.96705,0.98605,4,0
0.8956,0.9926,15,2
0.9944,0.98585,10,0
0.97585,0.9969,12,2
0.93435,0.90565,19,0
0.9404,0.92065,39,0
0.99005,0.99585,7,0
0.90255,0.92865,13,2
0.9714,0.95875,4,2
0.92465,0.9166,79,1
0.99215,0.9898,6,0
0.9576,0.96525,7,2
0.9605,0.95465,2,2
0.94795,0.8904,26,0
0.8978,0.9546,13,2
0.98795,0.9861,10,0
0.9517,0.94035,5,0
0.9601,0.9883,33,0
0.9068,0.92135,22,2
0.97655,0.98765,2,0
0.97975,0.98205,36,1
0.88125,0.93925,35,0
0.98435,0.9831,40,0
0.94035,0.9929,88,0
0.98375,0.9751,2,2
0.91775,0.9338,33,1
0.91475,0.91305,4,1
0.98295,0.97355,1,1
0.9882,0.9953,13,0
0.9361,0.98785,9,0
0.9897,0.99615,19,0
0.93095,0.9696,89,1
0.94585,0.9011,22,0
0.96855,0.94855,19,2
0.9914,0.98555,34,2
0.98555,0.9807,41,1
0.9897,0.97145,23,2
0.96065,0.96285,3,2
0.99,0.9926,3,1
0.98405,0.99185,5,2
0.926,0.94355,9,0
0.90775,0.9187,30,0
0.93925,0.95,4,0
0.94175,0.98825,51,2
0.8894,0.89575,9,0
0.9727,0.95525,10,2
0.99245,0.99385,9,0
0.99085,0.9929,20,0
0.8931,0.93165,10,2
0.9906,0.9927,4,0
0.96815,0.93355,46,0
0.9511,0.9834,21,0
0.9871,0.9786,12,2
0.97605,0.98995,7,2
0.92475,0.96025,33,2
0.9616,0.9021,46,1
0.96445,0.96255,2,2
0.8975,0.93245,24,2
0.98415,0.95295,26,1
0.98975,0.9909,7,0
0.9026,0.9475,13,0
0.97055,0.97735,78,2
0.94695,0.9896,23,2
0.985,0.9816,0,0
0.91495,0.9334,9,0
0.978,0.99425,10,2
0.98585,0.99255,14,0
0.99405,0.9939,9,0
0.918,0.91985,18,2
0.98445,0.99525,22,2
0.9827,0.9948,11,0
0.98,0.94505,27,0
0.9897,0.9,34,0
0.90965,0.949,6,2
0.99295,0.9931,12,0
0.91225,0.9714,41,0
0.9911,0.99415,17,2
0.9885,0.94795,26,1
0.9363,0.87285,14,2
0.97345,0.9116,13,0
0.91015,0.90225,0,0
0.9076,0.91505,8,1
0.98725,0.9848,16,2
0.9301,0.8888,38,1
0.9916,0.99265,22,0
0.9086,0.93725,9,2
0.8955,0.90865,38,0
0.87755,0.90425,32,0
0.98665,0.9928,9,2
0.9837,0.98255,8,0
0.9316,0.93355,13,1
0.993,0.9924,2,0
0.99545,0.99045,40,1
0.99015,0.98355,55,0
0.91385,0.8855,17,2
0.98035,0.98295,46,0
0.98155,0.97335,93,1
0.9943,0.9939,4,0
0.89165,0.8809,13,2
0.9762,0.98655,6,1
0.9377,0.9382,17,2
0.98575,0.99175,5,1
0.9922,0.99255,2,2
0.89045,0.9185,7,1
0.97395,0.96595,1,0
0.92515,0.9188,44,2
0.98735,0.9923,19,0
0.90955,0.99095,32,2
0.93825,0.94335,13,0
0.9928,0.99285,12,0
0.9561,0.9259,7,2
0.9947,0.9932,5,2
0.88415,0.87305,14,0
0.9408,0.88925,23,1
0.93145,0.9579,33,2
0.98245,0.9874,18,0
0.9861,0.96645,11,0
0.9929,0.9937,0,0
0.912,0.8955,0,0
0.98515,0.99515,36,2
0.9831,0.98685,3,2
0.9799,0.8859,86,1
0.90925,0.8882,9,2
0.8884,0.9171,21,0
0.99405,0.98745,67,1
0.99185,0.9945,34,2
0.98985,0.9842,5,2
0.88345,0.91625,15,2
0.9496,0.9638,7,0
0.9761,0.98595,19,1
0.99255,0.99075,6,0
0.98915,0.9905,5,0
0.91945,0.90985,17,0
0.98815,0.9857,23,0
0.98275,0.99225,56,2
0.989,0.98945,50,0
0.9796,0.97275,18,0
0.96795,0.96,7,2
0.98925,0.98595,12,0
0.99035,0.98845,1,2
0.99495,0.9934,0,0
0.98935,0.9893,25,0
0.98705,0.9857,28,0
0.96335,0.9609,2,1
0.96255,0.94655,37,0
0.97285,0.9318,14,2
0.93345,0.9327,10,0
0.9469,0.9869,11,0
0.9434,0.9192,2,0
0.97825,0.97725,1,2
0.9542,0.91225,25,1
0.9309,0.92575,23,2
0.99225,0.98985,5,1
0.95755,0.9597,2,2
0.9118,0.99105,29,2
0.9946,0.9928,32,1
0.8993,0.98715,45,2
0.9071,0.9881,23,2
0.9341,0.9543,33,0
0.9864,0.9071,18,1
0.931,0.9083,24,1
0.91495,0.9172,38,2
0.92655,0.9884,43,0
0.982,0.9911,25,2
0.9962,0.9786,45,0
0.98995,0.98705,22,1
0.9914,0.99125,34,1
0.92745,0.9892,20,2
0.99235,0.9924,1,1
0.9861,0.9396,23,0
0.99025,0.98685,6,0
0.9871,0.91735,58,1
0.97855,0.9895,9,1
0.91745,0.9813,74,0
0.9911,0.99195,3,0
0.99025,0.98955,26,1
0.9837,0.9445,23,2
0.945,0.93075,59,0

