3,1
3,2
7,1
11,0
1,2
0,0
1,2
2,2
13,0
0,0
98,2
2,0
1,0
8,2
2,1
2,2
20,1
27,0
1,2
0,1
6,2
18,0
2,2
1,2
18,0
91,2
0,0
1,2
58,1
22,2
4,0
2,0
24,0
9,0
5,0
0,0
8,0
14,0
5,1
0,0
0,0
2,0
9,0
96,0
0,0
0,0
21,2
24,0
20,2
2,0
4,1
6,2
1,2
7,0
8,2
12,2
1,0
27,2
5,2
14,0
1,2
3,0
1,0
6,2
27,0
0,0
0,0
1,0
0,0
2,0
5,0
7,2
2,0
25,0
1,0
29,0
12,0
32,0
0,0
6,1
0,0
1,2
0,0
1,2
2,0
1,2
3,2
2,0
1,2
11,0
32,2
3,2
30,0
15,0
9,0
8,2
2,0
21,0
18,1
1,2
3,2
12,2
2,2
24,1
1,2
0,0
31,0
2,0
0,0
11,0
6,2
1,0
26,0
21,0
3,2
17,2
2,0
39,0
2,1
6,0
5,0
1,2
4,0
98,0
21,0
0,0
11,2
19,2
0,0
12,2
0,0
1,0
6,2
0,0
3,2
1,2
1,2
15,0
5,0
10,2
86,0
4,0
8,2
10,2
14,2
0,0
14,2
4,2
91,2
43,0
14,2
5,0
15,1
15,0
1,0
3,0
0,0
0,0
0,0
0,0
2,2
6,0
7,2
38,0
100,0
2,2
17,2
33,2
0,0
10,0
9,0
0,0
17,0
5,2
13,2
23,2
0,0
0,0
15,2
3,2
3,0
8,0
1,2
3,0
4,0
3,2
1,2
1,0
2,2
2,2
2,2
15,1
5,0
0,0
10,2
1,2
1,2
29,2
47,1
9,2

